country,director,genres,language,stars,time,title,url,when,writer
"UK,France",Florian Zeller,Drama,English,"Anthony Hopkins,Olivia Colman,Mark Gatiss",97 min,"The Father,",https://www.imdb.com/title/tt10272386/,26 February 2021 (USA),"Christopher Hampton,Florian Zeller"
USA,Mona Fastvold,Drama,English,"Katherine Waterston,Vanessa Kirby,Casey Affleck",105 min,"The World to Come,",https://www.imdb.com/title/tt9738716/,2 March 2021 (USA),"Ron Hansen,Jim Shepard"
USA,Brian DeCubellis,"Drama,Romance",,"Victoria Justice,Matthew Daddario,Katherine McNamara",94 min,"Trust,",https://www.imdb.com/title/tt3986420/,12 March 2021 (USA),"Kristen Lazarian,K.S. Bruce"
"USA,Canada",Doug Liman,"Adventure,Sci-Fi",English,"Tom Holland,Daisy Ridley,Demián Bichir",109 min,"Chaos Walking,",https://www.imdb.com/title/tt2076822/,5 March 2021 (USA),"Patrick Ness,Christopher Ford"
USA,"Don Hall,Carlos López Estrada,2 more credits","Animation,Action,Adventure",English,"Kelly Marie Tran,Awkwafina,Gemma Chan",107 min,"Raya and the Last Dragon,",https://www.imdb.com/title/tt5109280/,5 March 2021 (USA),"Qui Nguyen,Adele Lim"
USA,Edward Drake,"Action,Adventure,Sci-Fi",English,"Frank Grillo,Bruce Willis,Brandon Thomas Lee",88 min,"Cosmic Sin,",https://www.imdb.com/title/tt11762434/,12 March 2021 (USA),"Edward Drake,Corey Large"
"Canada,Ireland",Philippe Falardeau,Drama,English,"Margaret Qualley,Sigourney Weaver,Douglas Booth",101 min,"My Salinger Year,",https://www.imdb.com/title/tt2222052/,5 March 2021 (USA),"Philippe Falardeau,Joanna Smith Rakoff"
USA,"Preston A. Whitmore II,David Wolfgang",Action,English,"Malcolm David Kelley,Robert Costanzo,Jeremy Meeks",109 min,"Dutch,",https://www.imdb.com/title/tt5738280/,12 March 2021 (USA),"Preston A. Whitmore II,Teri Woods"
Canada,Anthony Scott Burns,"Horror,Sci-Fi",English,"Julia Sarah Stone,Landon Liboiron,Carlee Ryski",105 min,"Come True,",https://www.imdb.com/title/tt7026488/,12 March 2021 (USA),"Anthony Scott Burns,Daniel Weissenberger"
"UK,Hungary,Netherlands,Switzerland",Magnus Martens,Action,"English,French","Sam Heughan,Ruby Rose,Andy Serkis",123 min,"SAS: Red Notice,",https://www.imdb.com/title/tt4479380/,16 March 2021 (USA),"Laurence Malkin,Andy McNab"
USA,Stephen Basilone,"Comedy,Romance",English,"Stephen Basilone,Jess Jacobs,Finn Wittrock",91 min,"Long Weekend,",https://www.imdb.com/title/tt11020728/,12 March 2021 (USA),Stephen Basilone
UK,Dominic Cooke,Thriller,English,"Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan",111 min,"The Courier,",https://www.imdb.com/title/tt8368512/,19 March 2021 (USA),Tom O'Connor
USA,Paolo Pilladi,Comedy,English,"Jeremy Piven,Taryn Manning,Bruce Dern",102 min,"Last Call,",https://www.imdb.com/title/tt6523526/,19 March 2021 (USA),"Greg Lingo,Paolo Pilladi"
USA,BenDavid Grabinski,"Comedy,Crime,Romance",English,"Joel McHale,Natalie Zea,Natalie Morales",96 min,"Happily,",https://www.imdb.com/title/tt9849004/,19 March 2021 (USA),BenDavid Grabinski
